step,t_rel
start,9.500887244939804e-06
service1_announced,1.5313969925045967e-05
service1_bid_offer_received,6.884610312059522
service1_winner_chosen,6.907217833912
service1_deploy_info_sent_to_provider,6.998788129072636
service1_confirm_deploy_received,18.99498495203443
service2_announced,18.996016717981547
service2_bid_offer_received,24.959179481957108
service2_winner_chosen,24.98450807784684
service2_deploy_info_sent_to_provider,25.057042469037697
service2_confirm_deploy_received,30.884114492917433
service2_get_deploy_info_from_provider,30.937455399893224
establish_connection_with_provider_start,30.960233276011422
establish_connection_with_provider_finished,30.960406435886398
end,31.782733049010858
