step,t_rel
start,1.2080185115337372e-05
service1_announced,2.0483974367380142e-05
service1_bid_offer_received,4.361910024192184
service1_winner_chosen,4.381694510113448
service1_deploy_info_sent_to_provider,4.444556414149702
service1_confirm_deploy_received,16.435636811889708
service2_announced,16.435922134201974
service2_bid_offer_received,22.384416623041034
service2_winner_chosen,22.407024717889726
service2_deploy_info_sent_to_provider,22.47796587087214
service2_confirm_deploy_received,31.414749158080667
service2_get_deploy_info_from_provider,31.45105683989823
establish_connection_with_provider_start,31.469817413017154
establish_connection_with_provider_finished,31.487429428845644
e2e_service_running,31.901599078904837
end,31.901756242848933
