domain,event,runs,mean_t_rel_s,std_t_rel_s
consumer_domain_1,service1_announced,20,3.3e-05,2.5e-05
consumer_domain_1,service1_bid_offer_received,20,7.365736,0.280009
consumer_domain_1,service1_winner_chosen,20,7.39099,0.280147
consumer_domain_1,service1_deploy_info_sent_to_provider,20,7.471196,0.28191
consumer_domain_1,service1_confirm_deploy_received,20,19.360805,0.277971
consumer_domain_1,service2_announced,20,19.361223,0.277932
consumer_domain_1,service2_bid_offer_received,20,27.353527,0.279885
consumer_domain_1,service2_winner_chosen,20,27.376754,0.27981
consumer_domain_1,service2_deploy_info_sent_to_provider,20,27.452282,0.278608
consumer_domain_1,service2_confirm_deploy_received,20,38.353872,1.800543
consumer_domain_1,e2e_service_running,20,38.843149,1.8027
